RP,Nom du parlementaire,Bénéficiaire,Pays,Somme,Programme,Programme détaillé,Année
S,LEPAGE,Alliance Jacmel,Haïti,8000,185-02,Coopération culturelle et promotion du français,2012
S,LEPAGE,Lycée franco hellénique E. Delacroix Athènes,Grèce,6000,185-02,Coopération culturelle et promotion du français,2012
S,LEPAGE,Alliances Françaises,Colombie,10000,185-02,Coopération culturelle et promotion du français,2012
S,LEPAGE,Ecole française internationale Vancouver,Canada,8000,185-02,Coopération culturelle et promotion du français,2012
S,LEPAGE,Alliance française d'Ahmedabad,Inde,5000,185-02,Coopération culturelle et promotion du français,2012
S,LEPAGE,Alliance française Vancouver,Canada,8000,185-02,Coopération culturelle et promotion du français,2012
S,LEPAGE,Alliance française de Pasadena,Etats-Unis,5000,185-02,Coopération culturelle et promotion du français,2012
S,LEPAGE,Centre Médical intern. Ouagadougou,Burkina-Fasso,14000,185-02,Coopération culturelle et promotion du français,2012
AN,MACH,Médicale d'Aide au cameroun,Cameroun,2000,209-02,Développement - Coopération bilatérale,2012
AN,MALHERBE,A.SC.H.A.S,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MALHERBE,Amicale Gautier,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MALHERBE,Amitié Madagascar ile-de-France (AMIF),,1000,209-02,Développement - Coopération bilatérale,2012
AN,MALHERBE,Association Danaya,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MALHERBE,MASOVA,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MALHERBE,SALLYFA,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MALLIE,Humantrip,,1500,209-02,Développement - Coopération bilatérale,2012
AN,MANCEL,Association Franco-Turque,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MANCEL,Association Action Développement Alternatif Madagascar,,5000,209-02,Développement - Coopération bilatérale,2012
AN,MANCEL,Soins pour tous (association de soutien au Cambodge,cambodge,10000,209-02,Développement - Coopération bilatérale,2012
S,MARC,Cités Unies ,,20000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
AN,MARCON,Echarpes velay Roumanie,,1000,209-02,Développement - Coopération bilatérale,2012
S,MARINI,Association Terre d'Orient,,20000,185-02,Coopération culturelle et promotion du français,2012
S,MARINI,Monastère Saint-Jacques l'Intercis,Liban,5000,185-02,Coopération culturelle et promotion du français,2012
S,MARINI,Mission archéologique française en Libye,,20000,185-02,Coopération culturelle et promotion du français,2012
AN,MARLEIX,4L Trophy Cantal Auvergne,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MARTIN-LALANDE,NIRINA,,6000,209-02,Développement - Coopération bilatérale,2012
AN,MARTIN-LALANDE,SOS Paspanga,,6500,209-02,Développement - Coopération bilatérale,2012
AN,MARTINEZ,Actions pour Ouarack,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MARTINEZ,Afri'Alp Soleil,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MARTINEZ,Developpement Energies Formation,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MARTINEZ,Nos enfants d'ailleurs,,5000,209-02,Développement - Coopération bilatérale,2012
AN,MARTINEZ,Peuples Solidaires,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MARTINEZ,WANA WANA,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MAUROY,Fondation Jean jaurès,,160000,185-04,Diplomatie culturelle et d'influence - Attractivité et recherche,2012
AN,MEHAIGNERIE,Mahatsinjo Bretagne,,1000,209-02,Développement - Coopération bilatérale,2012
S,MIQUEL,L'Alliance française de Managua,Nicaragua,7500,185-02,Coopération culturelle et promotion du français,2012
AN,MORANGE,A Part,,7000,209-02,Développement - Coopération bilatérale,2012
AN,MOREL-A-L'HUISSIER,Association Bukovine Lozère,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MOREL-A-L'HUISSIER,Association MENDIEGO,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MOREL-A-L'HUISSIER,Electriciens Sans Frontières Délégation Languedoc Roussillon,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MOREL-A-L'HUISSIER,Loz'Africa,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MOREL-A-L'HUISSIER,RACING 4L,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MOREL-A-L'HUISSIER,Un Bus pour le sénégal,,1000,209-02,Développement - Coopération bilatérale,2012
AN,MORIN,Liberté par les Chamelles,,3500,209-02,Développement - Coopération bilatérale,2012
AN,MUET,Europe direct Lyon,,3000,105-02,Action européenne,2012
AN,MUSELIER,Amicale des Oraniens,,1500,209-02,Développement - Coopération bilatérale,2012
AN,MUSELIER,Association les enfants d'Asie,,1500,209-02,Développement - Coopération bilatérale,2012
AN,MUSELIER,Enfants du Monde,,2000,209-02,Développement - Coopération bilatérale,2012
AN,MUSELIER,Les Jardins d'Hophrys,,1500,209-02,Développement - Coopération bilatérale,2012
AN,NICOLAS,Rotary Club d'Evreux,,1500,209-02,Développement - Coopération bilatérale,2012
AN,PATERNOTTE,Association des Frères Unis,,10000,209-02,Développement - Coopération bilatérale,2012
AN,PAU-LANGEVIN,Association APDH - Haïti,,8000,209-05,Développement - Coopération multilatérale,2012
AN,PERRUCHOT,Pour la Forêt vierge (Raoni),,5000,209-02,Développement - Coopération bilatérale,2012
AN,PERRUT,Association Construire Accueillir Préserver Chulémo,,1000,209-02,Développement - Coopération bilatérale,2012
S,PIRAS,Comité de jumelage Arménie,,10000,185-02,Coopération culturelle et promotion du français,2012
AN,POIGNANT,Association SSEDCA,,6000,209-02,Développement - Coopération bilatérale,2012
